timestamp,project_id,source_doc,truth,pos,label,image_path,mode,ink_ratio,box_x0,box_y0,box_x1,box_y1,roi_x0,roi_y0,roi_x1,roi_y1,auto_trim,trim_threshold,trim_pad,zoom
20260629_140444,cb_v2_old_20260629_135151,124.pdf,440251,1,4,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\4\124_20260629_140444_pos01_4.png,canvas_manual,0.4722222222222222,3,2,13,20,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140458,cb_v2_old_20260629_135151,124.pdf,440251,2,4,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\4\124_20260629_140458_pos02_4.png,canvas_manual,0.5061728395061729,14,2,23,20,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140507,cb_v2_old_20260629_135151,124.pdf,440251,3,0,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\0\124_20260629_140507_pos03_0.png,canvas_manual,0.6172839506172839,23,2,32,20,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140513,cb_v2_old_20260629_135151,124.pdf,440251,4,2,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\2\124_20260629_140513_pos04_2.png,canvas_manual,0.5944444444444444,36,2,46,20,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140520,cb_v2_old_20260629_135151,124.pdf,440251,5,5,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\5\124_20260629_140520_pos05_5.png,canvas_manual,0.5888888888888889,46,2,56,20,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140527,cb_v2_old_20260629_135151,124.pdf,440251,6,1,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\1\124_20260629_140527_pos06_1.png,canvas_manual,0.40350877192982454,56,2,65,21,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140624,cb_v2_old_20260629_135151,125.pdf,440252,1,4,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\4\125_20260629_140624_pos01_4.png,canvas_manual,0.4919786096256685,3,3,14,20,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140636,cb_v2_old_20260629_135151,125.pdf,440252,2,4,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\4\125_20260629_140636_pos02_4.png,canvas_manual,0.46,14,2,24,22,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140641,cb_v2_old_20260629_135151,125.pdf,440252,3,0,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\0\125_20260629_140641_pos03_0.png,canvas_manual,0.6352941176470588,23,3,33,20,0.835,0.115,0.9,0.13,True,245,4,8
20260629_140651,cb_v2_old_20260629_135151,125.pdf,440252,4,2,C:\Ferran\01_PROJECTES\EVO_SKILL_BUILDER\data\projects\cb_v2_old_20260629_135151\samples\2\125_20260629_140651_pos04_2.png,canvas_manual,0.5721925133689839,36,2,47,19,0.835,0.115,0.9,0.13,True,245,4,8
